WARNING 2019-05-26 21:03:54,273 log 228 Not Found: /css/news/index.css
WARNING 2019-05-26 21:03:54,288 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:03:54,295 log 228 Not Found: /images/dianshang.png
WARNING 2019-05-26 21:03:54,297 basehttp 154 "GET /css/base/common.css HTTP/1.1" 404 2051
WARNING 2019-05-26 21:03:54,302 log 228 Not Found: /images/zimeiti.png
WARNING 2019-05-26 21:03:54,308 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:03:54,308 basehttp 154 "GET /css/news/index.css HTTP/1.1" 404 2048
WARNING 2019-05-26 21:03:54,313 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:03:54,320 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-05-26 21:03:54,321 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2054
WARNING 2019-05-26 21:03:54,341 log 228 Not Found: /images/linux.jpg
WARNING 2019-05-26 21:03:54,344 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-05-26 21:03:54,356 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
WARNING 2019-05-26 21:03:54,351 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2048
WARNING 2019-05-26 21:03:54,351 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:03:54,356 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-05-26 21:03:54,367 log 228 Not Found: /images/python_web.jpg
WARNING 2019-05-26 21:03:54,368 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2072
WARNING 2019-05-26 21:03:54,376 log 228 Not Found: /images/english.jpg
WARNING 2019-05-26 21:03:54,387 log 228 Not Found: /js/commons.js
WARNING 2019-05-26 21:03:54,388 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2069
WARNING 2019-05-26 21:03:54,389 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2042
WARNING 2019-05-26 21:03:54,390 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2057
WARNING 2019-05-26 21:03:54,391 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2048
WARNING 2019-05-26 21:03:54,395 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2033
WARNING 2019-05-26 21:03:54,407 log 228 Not Found: /js/index.js
WARNING 2019-05-26 21:03:54,407 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2027
INFO 2019-05-26 21:04:55,319 basehttp 154 "GET / HTTP/1.1" 200 16882
WARNING 2019-05-26 21:04:55,349 log 228 Not Found: /images/ui.png
WARNING 2019-05-26 21:04:55,358 log 228 Not Found: /images/youxi.png
WARNING 2019-05-26 21:04:55,361 log 228 Not Found: /css/news/index.css
WARNING 2019-05-26 21:04:55,370 log 228 Not Found: /css/base/side.css
INFO 2019-05-26 21:04:55,373 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 200 3498
WARNING 2019-05-26 21:04:55,375 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2033
WARNING 2019-05-26 21:04:55,384 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2042
WARNING 2019-05-26 21:04:55,382 log 228 Not Found: /css/base/reset.css
WARNING 2019-05-26 21:04:55,409 basehttp 154 "GET /css/base/reset.css HTTP/1.1" 404 2048
WARNING 2019-05-26 21:04:55,398 log 228 Not Found: /js/commons.js
